team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Newcastle United,5,354,7,2,2,2,13,0,0,6.92
Atlético Madrid,10,887,7,11,25,10,11,0,0,6.92
1. FC Union Berlin,6,441,6,3,8,11,9,0,0,6.92
PSV Eindhoven,7,622,13,5,7,11,25,0,0,6.91
Lazio,8,546,17,12,5,1,39,5,0,6.9
Lazio,8,492,6,5,6,3,20,2,0,6.9
Benfica,6,540,13,3,11,3,16,0,0,6.9
FC Barcelona,5,395,9,3,5,3,20,0,0,6.9
Celtic,6,521,4,6,17,0,8,1,0,6.9
Celtic,3,137,0,0,1,0,2,1,0,6.9
RB Leipzig,5,269,7,2,3,3,9,0,0,6.9
Celtic,2,97,3,1,0,0,7,1,0,6.9
FC Porto,4,96,6,0,1,1,8,0,0,6.9
Real Madrid,9,386,5,1,1,0,10,1,0,6.89
Red Bull Salzburg,6,482,6,2,0,0,14,1,0,6.88
1. FC Union Berlin,6,247,7,2,2,4,10,0,0,6.88
BSC Young Boys,6,535,6,17,4,5,22,1,0,6.88
Real Sociedad,6,187,4,1,1,4,13,2,0,6.88
Borussia Dortmund,6,291,13,4,13,3,17,0,0,6.88
Arsenal,5,174,6,1,0,1,16,5,0,6.88
FC Porto,4,238,5,1,5,2,6,1,0,6.88
SSC Napoli,7,628,11,8,9,7,23,4,0,6.87
Arsenal,3,49,1,1,0,0,2,2,0,6.87
Real Madrid,9,320,8,0,0,0,30,5,0,6.86
FC Barcelona,8,280,10,2,0,3,20,2,0,6.85
Galatasaray,6,402,9,1,0,0,34,5,0,6.85
Lazio,6,473,9,6,13,6,11,1,0,6.85
Inter,2,112,0,1,1,0,8,0,0,6.85
PSV Eindhoven,7,317,4,3,3,2,14,2,0,6.84
Manchester United,5,381,2,1,6,7,11,0,0,6.84
Galatasaray,5,123,4,0,2,1,9,0,1,6.84
Red Bull Salzburg,5,400,10,12,5,9,20,0,0,6.84
FC Bayern München,7,207,4,0,3,1,5,0,0,6.83
Paris Saint-Germain,6,119,2,0,0,0,5,2,0,6.83
Borussia Dortmund,10,897,27,4,14,6,50,2,0,6.83
Atlético Madrid,8,317,10,2,3,0,25,7,0,6.83
Inter,7,406,8,2,8,5,16,0,0,6.83
Shakhtar Donetsk,4,207,4,2,5,1,4,0,0,6.83
Milan,4,219,4,3,4,2,7,0,0,6.83
Borussia Dortmund,9,450,10,7,6,7,15,1,0,6.82
FC Barcelona,5,202,3,1,2,3,5,0,0,6.82
RB Leipzig,6,412,8,4,1,1,14,5,0,6.82
Manchester City,4,132,2,0,1,4,6,1,0,6.8
1. FC Union Berlin,6,276,5,1,5,1,19,1,0,6.8
BSC Young Boys,1,8,0,0,0,0,0,0,0,6.8
FC Porto,8,708,15,8,10,1,20,3,0,6.8
SSC Napoli,8,681,11,10,6,2,19,0,0,6.8
Red Bull Salzburg,6,496,22,7,16,3,27,0,0,6.8
Arsenal,3,86,0,0,1,2,3,0,0,6.8
Real Sociedad,5,217,4,1,1,1,5,1,0,6.78
Milan,4,149,3,1,2,5,4,4,0,6.78
Shakhtar Donetsk,4,220,4,2,3,1,10,2,0,6.78
FK Crvena zvezda,6,201,2,1,1,2,17,1,0,6.77
FK Crvena zvezda,5,83,2,0,1,4,6,0,0,6.76
Manchester United,4,204,0,3,3,1,0,0,0,6.75
Manchester United,2,42,2,0,2,0,3,0,0,6.75
Royal Antwerp FC,6,387,9,3,5,3,15,0,0,6.73
Atlético Madrid,10,437,8,6,9,9,11,1,0,6.73
Newcastle United,3,171,3,2,8,0,5,0,0,6.73
