team,appearances,minutesPlayed,saves,goalsConceded,rating
Red Bull Salzburg,6,211,0,3,6.77
Feyenoord,5,148,0,7,6.76
BSC Young Boys,6,500,0,13,6.73
Inter,4,193,0,4,6.73
Newcastle United,5,312,0,3,6.72
Arsenal,6,141,0,1,6.72
Sporting Braga,6,217,0,1,6.72
RB Leipzig,7,338,0,5,6.7
Red Bull Salzburg,1,35,0,1,6.7
RC Lens,3,52,0,0,6.7
Milan,6,512,0,8,6.68
Paris Saint-Germain,10,484,0,8,6.68
FC Bayern München,5,60,0,4,6.68
Royal Antwerp FC,6,161,0,4,6.67
Sevilla,3,60,0,0,6.67
Benfica,3,177,0,2,6.67
Lazio,7,213,0,2,6.66
Benfica,4,145,0,3,6.65
Paris Saint-Germain,7,225,0,5,6.64
Celtic,6,452,0,9,6.63
RB Leipzig,4,46,0,2,6.63
FC København,3,79,0,1,6.63
RB Leipzig,8,403,0,7,6.63
Red Bull Salzburg,4,146,0,2,6.63
Galatasaray,5,230,0,5,6.6
FC København,6,143,0,3,6.6
FK Crvena zvezda,4,108,0,2,6.6
FC Porto,3,38,0,0,6.6
Real Sociedad,4,100,0,1,6.6
BSC Young Boys,6,108,0,4,6.58
Red Bull Salzburg,5,237,0,3,6.58
Celtic,4,209,0,7,6.58
Borussia Dortmund,4,22,0,0,6.55
FK Crvena zvezda,4,115,0,3,6.55
Manchester United,2,97,0,4,6.55
Benfica,3,34,0,0,6.55
Celtic,5,108,0,8,6.54
Manchester United,6,300,0,11,6.53
RC Lens,4,69,0,1,6.53
