league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ENG-Premier League,2021,2020-12-05 Chelsea-Leeds,1,2020,14538,2020-12-05 20:00:00,80,245,Chelsea,Leeds,LED,CHE,3,1,4.89472,1.0277,True,True,https://understat.com/match/14538
ENG-Premier League,2021,2020-12-05 Manchester City-Fulham,1,2020,14540,2020-12-05 15:00:00,88,228,Manchester City,Fulham,FLH,MCI,2,0,3.26328,0.287444,True,True,https://understat.com/match/14540
ENG-Premier League,2021,2020-12-05 West Ham-Manchester United,1,2020,14544,2020-12-05 17:30:00,81,89,West Ham,Manchester United,MUN,WHU,1,3,2.53006,1.78708,True,True,https://understat.com/match/14544
ENG-Premier League,2021,2020-12-06 Liverpool-Wolverhampton Wanderers,1,2020,14539,2020-12-06 19:15:00,87,229,Liverpool,Wolverhampton Wanderers,WOL,LIV,4,0,1.59454,0.357753,True,True,https://understat.com/match/14539
ENG-Premier League,2021,2020-12-06 Sheffield United-Leicester,1,2020,14541,2020-12-06 14:15:00,238,75,Sheffield United,Leicester,LEI,SHE,1,2,0.290743,1.3904,True,True,https://understat.com/match/14541
ENG-Premier League,2021,2020-12-06 Tottenham-Arsenal,1,2020,14542,2020-12-06 16:30:00,82,83,Tottenham,Arsenal,ARS,TOT,2,0,0.390629,0.595216,True,True,https://understat.com/match/14542
ENG-Premier League,2021,2020-12-06 West Bromwich Albion-Crystal Palace,1,2020,14543,2020-12-06 12:00:00,76,78,West Bromwich Albion,Crystal Palace,CRY,WBA,1,5,0.567234,1.68656,True,True,https://understat.com/match/14543
ENG-Premier League,2021,2020-12-07 Brighton-Southampton,1,2020,14536,2020-12-07 20:00:00,220,74,Brighton,Southampton,SOU,BRI,1,2,2.03376,1.34801,True,True,https://understat.com/match/14536
ENG-Premier League,2021,2020-12-11 Leeds-West Ham,1,2020,14548,2020-12-11 20:00:00,245,81,Leeds,West Ham,WHU,LED,1,2,1.56644,1.7851,True,True,https://understat.com/match/14548
ENG-Premier League,2021,2020-12-12 Everton-Chelsea,1,2020,14546,2020-12-12 20:00:00,72,80,Everton,Chelsea,CHE,EVE,1,0,1.2216,1.00627,True,True,https://understat.com/match/14546
