season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-03-02,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-03-02,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-03-09,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-03-09,91
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-03-09,143
2023-2024,19789,E. Pinnock,Brentford,Missing Fixture,Ankle Injury,2024-03-09,24
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-03-09,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-03-09,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-03-09,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-03-16,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-03-16,143
2023-2024,30407,C. Norgaard,Brentford,Missing Fixture,Injury,2024-03-16,100
2023-2024,19789,E. Pinnock,Brentford,Missing Fixture,Ankle Injury,2024-03-16,24
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-03-16,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-03-16,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-03-16,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-03-30,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-03-30,143
2023-2024,30407,C. Norgaard,Brentford,Questionable,Injury,2024-03-30,0
2023-2024,19789,E. Pinnock,Brentford,Questionable,Ankle Injury,2024-03-30,0
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-03-30,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-03-30,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-03-30,238
2023-2024,739,S. Reguilon,Brentford,Missing Fixture,Red Card,2024-03-30,59
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-04-03,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-04-03,143
2023-2024,30407,C. Norgaard,Brentford,Questionable,Injury,2024-04-03,0
2023-2024,19789,E. Pinnock,Brentford,Questionable,Ankle Injury,2024-04-03,0
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-04-03,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-04-03,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-04-03,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-04-06,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-04-06,143
2023-2024,30407,C. Norgaard,Brentford,Questionable,Injury,2024-04-06,0
2023-2024,19789,E. Pinnock,Brentford,Questionable,Ankle Injury,2024-04-06,0
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-04-06,154
2023-2024,178077,K. Schade,Brentford,Questionable,Hip Injury,2024-04-06,0
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-04-06,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-04-13,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-04-13,143
2023-2024,30407,C. Norgaard,Brentford,Questionable,Injury,2024-04-13,0
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-04-13,154
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-04-13,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-04-20,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-04-20,143
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-04-20,154
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-04-20,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-04-27,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-04-27,143
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-04-27,154
2023-2024,19364,N. Maupay,Brentford,Missing Fixture,Loan agreement,2024-04-27,217
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-04-27,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-05-04,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-05-04,143
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-05-04,154
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-05-04,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-05-11,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-05-11,143
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-05-11,154
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-05-11,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-05-19,211
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-05-19,143
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-05-19,154
2023-2024,19495,N. Collins,Brentford,Questionable,Injury,2024-05-19,0
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-05-19,238
