season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Aston Villa 2024 2025,2025-03-08,Premier League,Brentford,2025-03-08_premier_league_brentford_goalkeeper_stats.csv,fb9126ab,https://fbref.com/en/matches/fb9126ab/Brentford-Aston-Villa-March-8-2025-Premier-League,2025-03-08,Premier League,Matchweek 28,Away,Brentford,W,2025-03-08_premier_league_brentford,Aston Villa,Robin Olsen,se SWE,35-059,90,3.0,0,3.0,100.0
2024-2025,Aston Villa 2024 2025,2025-03-12,Champions Lg,Beclub Brugge,2025-03-12_champions_lg_beclub_brugge_goalkeeper_stats.csv,0f972b25,https://fbref.com/en/matches/0f972b25/Aston-Villa-Club-Brugge-March-12-2025-Champions-League,2025-03-12,Champions Lg,Round of 16,Home,beClub Brugge,W,2025-03-12_champions_lg_beclub_brugge,Aston Villa,Emiliano Martínez,ar ARG,32-191,90,1.0,0,1.0,100.0
2024-2025,Aston Villa 2024 2025,2025-03-30,Fa Cup,Preston North End,2025-03-30_fa_cup_preston_north_end_goalkeeper_stats.csv,0e7b0dc4,https://fbref.com/en/matches/0e7b0dc4/Preston-North-End-Aston-Villa-March-30-2025-FA-Cup,2025-03-30,FA Cup,Quarter-finals,Away,Preston North End,W,2025-03-30_fa_cup_preston_north_end,Aston Villa,Emiliano Martínez,ar ARG,32-209,90,1.0,0,1.0,100.0
2024-2025,Aston Villa 2024 2025,2025-04-02,Premier League,Brighton,2025-04-02_premier_league_brighton_goalkeeper_stats.csv,158e64b3,https://fbref.com/en/matches/158e64b3/Brighton-and-Hove-Albion-Aston-Villa-April-2-2025-Premier-League,2025-04-02,Premier League,Matchweek 30,Away,Brighton,W,2025-04-02_premier_league_brighton,Aston Villa,Emiliano Martínez,ar ARG,32-212,90,4.0,0,4.0,100.0
2024-2025,Aston Villa 2024 2025,2025-04-05,Premier League,Nottingham Forest,2025-04-05_premier_league_nottingham_forest_goalkeeper_stats.csv,7b024699,https://fbref.com/en/matches/7b024699/Aston-Villa-Nottingham-Forest-April-5-2025-Premier-League,2025-04-05,Premier League,Matchweek 31,Home,Nottingham Forest,W,2025-04-05_premier_league_nottingham_forest,Aston Villa,Emiliano Martínez,ar ARG,32-215,90,3.0,1,2.0,66.7
2024-2025,Aston Villa 2024 2025,2025-04-09,Champions Lg,Frparis Saint Germain,2025-04-09_champions_lg_frparis_saint_germain_goalkeeper_stats.csv,9f9e8b53,https://fbref.com/en/matches/9f9e8b53/Paris-Saint-Germain-Aston-Villa-April-9-2025-Champions-League,2025-04-09,Champions Lg,Quarter-finals,Away,frParis Saint-Germain,L,2025-04-09_champions_lg_frparis_saint_germain,Aston Villa,Emiliano Martínez,ar ARG,32-219,90,11.0,3,8.0,72.7
2024-2025,Aston Villa 2024 2025,2025-04-12,Premier League,Southampton,2025-04-12_premier_league_southampton_goalkeeper_stats.csv,eb58af0b,https://fbref.com/en/matches/eb58af0b/Southampton-Aston-Villa-April-12-2025-Premier-League,2025-04-12,Premier League,Matchweek 32,Away,Southampton,W,2025-04-12_premier_league_southampton,Aston Villa,Emiliano Martínez,ar ARG,32-222,90,2.0,0,2.0,100.0
2024-2025,Aston Villa 2024 2025,2025-04-15,Champions Lg,Frparis Saint Germain,2025-04-15_champions_lg_frparis_saint_germain_goalkeeper_stats.csv,0fd085bd,https://fbref.com/en/matches/0fd085bd/Aston-Villa-Paris-Saint-Germain-April-15-2025-Champions-League,2025-04-15,Champions Lg,Quarter-finals,Home,frParis Saint-Germain,W,2025-04-15_champions_lg_frparis_saint_germain,Aston Villa,Emiliano Martínez,ar ARG,32-225,90,7.0,2,5.0,71.4
2024-2025,Aston Villa 2024 2025,2025-04-19,Premier League,Newcastle United,2025-04-19_premier_league_newcastle_united_goalkeeper_stats.csv,45a3960e,https://fbref.com/en/matches/45a3960e/Aston-Villa-Newcastle-United-April-19-2025-Premier-League,2025-04-19,Premier League,Matchweek 33,Home,Newcastle United,W,2025-04-19_premier_league_newcastle_united,Aston Villa,Emiliano Martínez,ar ARG,32-229,90,3.0,1,2.0,66.7
2024-2025,Aston Villa 2024 2025,2025-04-22,Premier League,Manchester City,2025-04-22_premier_league_manchester_city_goalkeeper_stats.csv,3de68b91,https://fbref.com/en/matches/3de68b91/Manchester-City-Aston-Villa-April-22-2025-Premier-League,2025-04-22,Premier League,Matchweek 34,Away,Manchester City,L,2025-04-22_premier_league_manchester_city,Aston Villa,Emiliano Martínez,ar ARG,32-232,90,6.0,2,4.0,66.7
2024-2025,Aston Villa 2024 2025,2025-04-26,Fa Cup,Crystal Palace,2025-04-26_fa_cup_crystal_palace_goalkeeper_stats.csv,146c739f,https://fbref.com/en/matches/146c739f/Crystal-Palace-Aston-Villa-April-26-2025-FA-Cup,2025-04-26,FA Cup,Semi-finals,Away,Crystal Palace,L,2025-04-26_fa_cup_crystal_palace,Aston Villa,Emiliano Martínez,ar ARG,32-236,90,4.0,3,1.0,25.0
2024-2025,Aston Villa 2024 2025,2025-05-03,Premier League,Fulham,2025-05-03_premier_league_fulham_goalkeeper_stats.csv,d8e391ab,https://fbref.com/en/matches/d8e391ab/Aston-Villa-Fulham-May-3-2025-Premier-League,2025-05-03,Premier League,Matchweek 35,Home,Fulham,W,2025-05-03_premier_league_fulham,Aston Villa,Emiliano Martínez,ar ARG,32-243,90,3.0,0,3.0,100.0
2024-2025,Aston Villa 2024 2025,2025-05-10,Premier League,Bournemouth,2025-05-10_premier_league_bournemouth_goalkeeper_stats.csv,dd48659a,https://fbref.com/en/matches/dd48659a/Bournemouth-Aston-Villa-May-10-2025-Premier-League,2025-05-10,Premier League,Matchweek 36,Away,Bournemouth,W,2025-05-10_premier_league_bournemouth,Aston Villa,Emiliano Martínez,ar ARG,32-250,90,4.0,0,4.0,100.0
2024-2025,Aston Villa 2024 2025,2025-05-16,Premier League,Tottenham Hotspur,2025-05-16_premier_league_tottenham_hotspur_goalkeeper_stats.csv,b2651680,https://fbref.com/en/matches/b2651680/Aston-Villa-Tottenham-Hotspur-May-16-2025-Premier-League,2025-05-16,Premier League,Matchweek 37,Home,Tottenham Hotspur,W,2025-05-16_premier_league_tottenham_hotspur,Aston Villa,Emiliano Martínez,ar ARG,32-256,90,1.0,0,1.0,100.0
2024-2025,Aston Villa 2024 2025,2025-05-25,Premier League,Manchester Utd,2025-05-25_premier_league_manchester_utd_goalkeeper_stats.csv,7ea43929,https://fbref.com/en/matches/7ea43929/Manchester-United-Aston-Villa-May-25-2025-Premier-League,2025-05-25,Premier League,Matchweek 38,Away,Manchester Utd,L,2025-05-25_premier_league_manchester_utd,Aston Villa,Emiliano Martínez,ar ARG,32-265,44,7.0,2,5.0,71.4
2024-2025,Aston Villa 2024 2025,2025-05-25,Premier League,Manchester Utd,2025-05-25_premier_league_manchester_utd_goalkeeper_stats.csv,7ea43929,https://fbref.com/en/matches/7ea43929/Manchester-United-Aston-Villa-May-25-2025-Premier-League,2025-05-25,Premier League,Matchweek 38,Away,Manchester Utd,L,2025-05-25_premier_league_manchester_utd,Aston Villa,Robin Olsen,se SWE,35-137,46,4.0,2,3.0,75.0
