team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Olympique de Marseille,4,360,0,1,0,225,20,0,3,5,18,0,6.73
FC Bayern München,5,186,0,4,0,124,0,1,1,2,13,0,6.73
Stade Rennais,5,241,0,2,0,130,4,4,9,5,21,0,6.72
RB Leipzig,6,324,0,0,0,165,11,2,9,3,19,0,6.72
AFC Ajax,6,514,0,0,0,184,8,2,13,7,21,0,6.72
Borussia M'gladbach,8,720,0,2,0,365,31,0,3,5,32,0,6.71
Red Bull Salzburg,5,450,1,4,1,157,8,1,13,13,40,0,6.7
Liverpool FC,1,45,0,0,0,11,3,0,0,3,2,0,6.7
FC Porto,2,83,0,1,0,15,0,3,0,2,3,0,6.7
Zenit St. Petersburg,3,167,0,4,1,67,5,0,2,2,10,0,6.7
Manchester United,4,292,0,10,0,80,4,2,7,1,13,0,6.7
Zenit St. Petersburg,5,397,0,3,0,157,9,3,13,9,21,0,6.7
Juventus,5,400,0,0,0,299,5,0,5,9,18,0,6.7
Başakşehir FK,6,375,0,4,1,133,5,2,4,9,27,0,6.7
Stade Rennais,6,520,0,1,0,283,20,2,3,8,31,0,6.7
Lokomotiv Moscow,6,540,0,2,0,143,5,4,5,16,27,0,6.68
Zenit St. Petersburg,5,383,0,0,0,172,22,1,1,11,22,0,6.68
Inter,5,420,0,2,1,129,5,4,4,3,17,0,6.68
FC Krasnodar,3,151,0,1,0,59,8,0,1,6,9,0,6.67
Borussia Dortmund,6,468,0,1,0,176,20,6,7,5,37,0,6.67
Inter,5,358,1,4,1,112,6,4,8,7,25,0,6.66
Manchester United,5,392,0,0,0,180,8,0,4,3,15,0,6.66
FC Porto,4,136,1,1,0,33,0,5,2,2,12,0,6.65
Borussia M'gladbach,3,55,0,0,0,59,3,0,0,2,1,0,6.65
Club Brugge KV,4,318,0,0,0,206,15,0,1,5,19,0,6.65
Başakşehir FK,5,402,0,2,0,185,9,1,7,8,23,0,6.64
Paris Saint-Germain,11,980,0,0,0,518,17,3,13,5,34,0,6.64
RB Leipzig,6,475,0,0,0,226,20,4,10,7,29,0,6.63
Lazio,6,342,0,0,0,80,3,2,9,8,17,0,6.63
Inter,5,318,0,3,0,192,7,1,8,7,21,0,6.62
Olympique de Marseille,5,450,0,4,1,177,8,2,8,10,28,0,6.62
Borussia Dortmund,7,458,0,0,0,152,9,6,12,18,29,0,6.61
FC Krasnodar,5,450,1,1,1,129,18,0,3,9,10,0,6.6
Juventus,1,21,0,0,0,25,0,0,0,0,0,0,6.6
FC Barcelona,1,35,0,1,0,25,0,0,1,0,4,0,6.6
Club Brugge KV,1,11,0,0,0,1,1,1,0,1,0,0,6.6
FC Krasnodar,1,72,0,1,1,16,1,0,1,0,4,0,6.6
Atalanta,2,19,0,0,0,13,1,0,0,1,2,0,6.6
Ferencváros TC,2,176,0,0,0,114,6,0,8,5,10,0,6.6
Ferencváros TC,2,180,0,0,0,85,10,2,4,4,12,0,6.6
Juventus,3,144,0,1,0,153,12,0,1,2,11,0,6.6
RB Leipzig,3,188,0,1,0,94,6,0,2,3,10,0,6.6
AFC Ajax,3,55,0,1,0,27,3,0,2,2,7,0,6.6
Stade Rennais,4,273,0,0,0,177,10,0,1,4,21,0,6.6
Dynamo Kyiv,4,354,0,4,0,167,9,4,5,12,18,0,6.6
Shakhtar Donetsk,4,296,0,0,0,168,11,0,1,7,7,0,6.6
Club Brugge KV,6,533,0,2,0,270,13,8,9,9,44,0,6.6
FC Barcelona,3,147,0,0,0,84,3,0,6,2,5,0,6.57
Dynamo Kyiv,6,540,0,0,0,282,18,1,2,8,22,0,6.57
Ferencváros TC,6,370,0,5,1,146,9,0,11,7,32,0,6.57
Red Bull Salzburg,6,540,0,6,2,158,10,0,18,11,39,0,6.57
Dynamo Kyiv,4,228,0,2,0,96,3,4,0,4,11,0,6.55
Manchester United,5,202,0,0,0,70,5,1,5,2,18,0,6.54
FC Barcelona,8,561,0,1,0,454,14,1,7,11,29,0,6.54
Stade Rennais,6,540,0,1,0,238,13,0,6,11,43,0,6.53
Atalanta,6,215,0,0,0,112,9,1,4,6,11,0,6.53
Ferencváros TC,6,540,0,3,0,390,40,0,5,16,39,0,6.53
Sevilla,4,221,0,1,0,94,3,2,3,4,7,0,6.53
Ferencváros TC,5,369,0,1,0,275,23,2,3,12,29,0,6.52
Olympiacos FC,5,430,0,1,0,141,4,5,8,11,18,0,6.52
FC Krasnodar,6,524,0,1,0,156,8,5,8,13,33,0,6.52
Red Bull Salzburg,1,90,0,0,0,20,1,1,2,3,4,0,6.5
Borussia M'gladbach,1,8,0,0,0,6,0,0,0,1,0,0,6.5
Olympiacos FC,2,21,0,0,0,7,0,0,1,0,1,0,6.5
Olympique de Marseille,2,103,0,0,0,33,1,0,0,0,3,0,6.5
Sevilla,3,199,0,0,0,131,6,0,1,1,5,0,6.5
Paris Saint-Germain,5,70,0,0,0,37,1,1,1,2,4,0,6.5
Olympique de Marseille,6,540,0,1,0,334,18,0,8,7,26,0,6.5
FC Krasnodar,5,293,0,1,0,51,1,3,1,3,11,0,6.48
Zenit St. Petersburg,4,281,0,2,0,100,13,1,5,3,17,0,6.48
RB Leipzig,2,180,0,0,0,97,5,0,2,4,15,0,6.45
Olympique de Marseille,6,540,0,0,0,214,6,5,9,12,18,0,6.45
FC Midtjylland,5,398,0,3,0,104,15,1,7,9,19,0,6.44
Olympiacos FC,6,540,0,1,0,276,11,1,5,3,27,0,6.43
Lazio,6,428,0,1,0,222,13,1,5,6,20,0,6.43
Paris Saint-Germain,5,220,0,0,0,56,1,1,7,3,8,0,6.42
Paris Saint-Germain,10,413,0,0,0,134,6,2,7,4,32,0,6.42
Red Bull Salzburg,6,512,0,2,0,230,22,0,10,11,30,0,6.42
Ferencváros TC,6,270,0,2,0,98,2,0,1,5,15,0,6.42
Shakhtar Donetsk,3,270,1,2,1,125,5,2,0,4,14,0,6.4
Başakşehir FK,1,10,0,0,0,5,0,0,1,1,0,0,6.4
Sevilla,3,185,0,0,0,103,0,0,1,2,10,0,6.4
Başakşehir FK,6,518,0,5,0,205,8,2,21,12,36,0,6.4
FC Midtjylland,6,476,0,1,0,135,5,4,11,11,33,0,6.4
Başakşehir FK,5,405,0,0,0,169,11,0,2,10,17,0,6.38
Atalanta,2,96,0,0,0,38,0,1,0,2,6,0,6.35
Lazio,5,325,0,0,0,71,2,3,4,2,14,0,6.34
Ferencváros TC,6,383,0,1,0,150,7,3,9,6,18,0,6.33
FC Bayern München,1,61,0,0,0,16,0,0,0,0,0,0,6.3
Atalanta,1,11,0,0,0,5,0,0,0,0,1,0,6.3
Manchester United,2,60,0,0,0,23,0,1,1,1,1,0,6.3
Olympique de Marseille,3,250,0,0,0,164,11,1,2,7,20,0,6.27
Borussia Dortmund,3,207,0,0,0,80,2,1,3,1,5,0,6.23
Başakşehir FK,3,111,0,0,0,35,1,1,1,1,6,0,6.23
Paris Saint-Germain,1,10,0,0,0,5,0,0,0,0,2,0,6.2
Shakhtar Donetsk,1,90,0,1,1,63,6,0,2,3,2,0,6.2
Lokomotiv Moscow,1,45,0,0,0,15,4,0,3,0,2,0,6.2
Stade Rennais,4,224,0,2,1,82,5,1,2,2,11,0,6.08
Red Bull Salzburg,4,43,0,0,0,30,4,0,0,3,2,0,6.05
Ferencváros TC,1,63,0,0,0,19,2,0,4,2,3,0,6.0
Stade Rennais,2,167,0,0,0,41,6,2,0,0,5,0,6.0
Başakşehir FK,4,189,0,0,0,59,2,1,1,6,15,0,6.0
Lazio,1,31,0,0,0,10,0,0,1,0,1,0,5.7
AFC Ajax,1,1,0,0,0,1,0,0,0,0,0,0,0.0
Lokomotiv Moscow,1,2,0,0,0,2,0,0,1,0,1,0,0.0
FC Bayern München,7,617,4,25,6,424,55,11,13,12,50,1,8.01
Juventus,6,551,6,25,7,327,18,11,12,5,31,0,7.82
Manchester United,6,439,1,15,4,216,19,3,9,4,33,4,7.8
Manchester City,8,669,4,17,4,356,24,11,9,2,38,3,7.64
Real Madrid,12,961,2,25,3,932,109,6,19,19,70,0,7.53
Manchester City,13,1066,3,19,4,485,11,26,16,9,60,3,7.44
Borussia M'gladbach,8,699,0,9,4,373,26,10,24,9,49,0,7.43
FC Barcelona,2,135,0,3,0,95,6,5,0,1,5,1,7.4
Borussia Dortmund,6,386,3,14,3,216,2,14,3,4,21,2,7.38
RB Leipzig,7,627,3,16,3,224,10,0,15,2,36,3,7.37
Borussia M'gladbach,8,539,3,8,2,115,8,4,2,2,23,5,7.35
Sevilla,4,280,0,3,0,93,10,7,6,2,10,1,7.35
Borussia Dortmund,5,362,0,2,1,317,10,3,8,7,33,1,7.35
AFC Ajax,4,358,0,7,1,109,5,5,7,3,19,1,7.33
Sevilla,8,542,2,18,5,234,22,12,3,3,36,1,7.31
Chelsea,1,80,0,2,1,40,0,1,4,0,5,0,7.3
Juventus,7,504,1,6,2,296,14,3,18,16,38,1,7.29
Liverpool FC,5,405,2,4,2,222,6,7,6,7,27,1,7.28
Manchester City,12,812,2,22,3,348,11,18,13,6,38,4,7.25
Club Brugge KV,6,532,0,5,1,346,47,5,5,8,39,3,7.25
Borussia Dortmund,7,444,1,9,1,205,11,2,8,3,18,1,7.23
FC Porto,8,737,0,8,1,253,21,5,15,4,42,5,7.23
Atalanta,4,136,0,5,2,63,8,5,3,3,11,0,7.23
Inter,5,371,1,9,0,293,25,1,6,4,27,0,7.22
Manchester City,12,977,1,12,2,845,25,17,15,11,79,3,7.22
Borussia Dortmund,6,492,0,7,1,266,16,9,13,5,39,1,7.22
FC Bayern München,7,549,2,11,2,180,7,18,7,2,22,3,7.2
Manchester United,5,429,1,3,2,124,4,9,0,3,15,2,7.2
Paris Saint-Germain,7,508,2,11,1,386,10,17,21,6,35,0,7.2
Lazio,6,480,0,12,3,272,13,10,17,4,29,0,7.2
Liverpool FC,8,554,0,1,0,354,23,1,19,13,48,0,7.2
Chelsea,7,345,0,3,2,115,4,6,5,4,22,2,7.17
Club Brugge KV,6,519,2,12,3,236,11,1,11,8,24,1,7.17
Sevilla,8,467,1,9,2,345,30,3,8,6,39,2,7.16
Real Madrid,10,828,1,8,0,541,41,2,23,18,87,1,7.15
Real Madrid,2,135,0,6,0,70,1,1,2,0,4,0,7.15
Real Madrid,12,911,3,18,2,771,55,12,13,18,78,1,7.14
Başakşehir FK,5,424,2,5,1,142,15,9,4,3,30,1,7.14
Red Bull Salzburg,6,463,1,4,0,184,13,3,15,13,38,1,7.13
