model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model B,0.64,0.5949895615866388,0.36259541984732824,0.4505928853754941,0.6249678609108883,1528,194,501,285,479,0.19098883572567782
Model B,0.65,0.5964523281596452,0.3422391857506361,0.4349232012934519,0.6182740644200335,1540,182,517,269,451,0.17982456140350878
Model B,0.66,0.6115107913669064,0.3244274809160305,0.4239401496259352,0.6151754129318828,1560,162,531,255,417,0.16626794258373206
Model B,0.67,0.609254498714653,0.3015267175572519,0.4034042553191489,0.6066286317170696,1570,152,549,237,389,0.155103668261563
Model B,0.68,0.6170798898071626,0.28498727735368956,0.38990426457789384,0.6021335922192373,1583,139,562,224,363,0.14473684210526316
Model B,0.69,0.6352583586626139,0.26590330788804073,0.37488789237668163,0.5981084483691075,1602,120,577,209,329,0.13118022328548645
Model B,0.7,0.652317880794702,0.2506361323155216,0.36213235294117646,0.5948302612797121,1617,105,589,197,302,0.12041467304625199
Model B,0.71,0.6690140845070423,0.24173027989821882,0.35514018691588783,0.5935712955820943,1628,94,596,190,284,0.11323763955342903
Model B,0.72,0.685823754789272,0.227735368956743,0.3419293218720153,0.5900581606688476,1640,82,607,179,261,0.10406698564593302
Model B,0.73,0.6926229508196722,0.21501272264631044,0.32815533980582523,0.5857293578388347,1647,75,617,169,244,0.09728867623604466
Model B,0.74,0.7013574660633484,0.19720101781170485,0.30784508440913605,0.5794367458396503,1656,66,631,155,221,0.08811802232854865
Model B,0.75,0.7044334975369458,0.18193384223918574,0.2891809908998989,0.5735453183321364,1662,60,643,143,203,0.08094098883572567
Model B,0.76,0.72,0.16030534351145037,0.26222684703433924,0.5659250294793025,1673,49,660,126,175,0.06977671451355662
Model B,0.77,0.7232704402515723,0.14631043256997456,0.24338624338624337,0.5603793742408525,1678,44,671,115,159,0.06339712918660287
Model B,0.78,0.7272727272727273,0.13231552162849872,0.2238966630785791,0.5548337190024026,1683,39,682,104,143,0.05701754385964912
Model B,0.79,0.7348484848484849,0.12340966921119594,0.2113289760348584,0.5515422329795817,1687,35,689,97,132,0.05263157894736842
Model B,0.8,0.75,0.11068702290076336,0.19290465631929046,0.546923070103111,1693,29,699,87,116,0.046251993620414676
Model B,0.81,0.76,0.09669211195928754,0.17155756207674944,0.5413774148646612,1698,24,710,76,100,0.03987240829346093
Model B,0.82,0.7558139534883721,0.08269720101781171,0.14908256880733944,0.5352510395332961,1701,21,721,65,86,0.0342902711323764
Model B,0.83,0.75,0.06870229007633588,0.1258741258741259,0.5291246642019309,1704,18,732,54,72,0.028708133971291867
Model B,0.84,0.7868852459016393,0.061068702290076333,0.11334120425029516,0.5267596705410893,1709,13,738,48,61,0.024322169059011165
Model B,0.85,0.84,0.05343511450381679,0.10047846889952153,0.5243946768802475,1714,8,744,42,50,0.019936204146730464
Model B,0.86,0.8181818181818182,0.04580152671755725,0.08674698795180723,0.5205778829871178,1714,8,750,36,44,0.017543859649122806
Model B,0.87,0.8125,0.03307888040712468,0.06356968215158924,0.5147972799248167,1716,6,760,26,32,0.012759170653907496
