Season,Season_Label,Team,Fixture_Date,Players_Missing_Total,Players_Missing_Injury,Players_Missing_Non_Injury,Soft_Tissue_Missing,Max_Reported_Days_Out,Mean_Reported_Days_Out
2023-2024,2023/24,Chelsea,2024-05-11,6,6,0,1,279,227.2
2023-2024,2023/24,Manchester United,2024-05-12,6,6,0,3,278,243.8
2023-2024,2023/24,Arsenal,2024-05-12,0,0,0,0,0,0.0
2023-2024,2023/24,Aston Villa,2024-05-13,6,6,0,1,280,128.2
2023-2024,2023/24,Liverpool,2024-05-13,3,3,0,1,268,156.3
2023-2024,2023/24,Tottenham,2024-05-14,8,8,0,5,280,165.8
2023-2024,2023/24,Manchester City,2024-05-14,0,0,0,0,0,0.0
2023-2024,2023/24,Brighton,2024-05-15,8,8,0,1,205,101.8
2023-2024,2023/24,Chelsea,2024-05-15,4,4,0,1,279,220.8
2023-2024,2023/24,Manchester United,2024-05-15,5,5,0,3,278,242.2
2023-2024,2023/24,Newcastle,2024-05-15,6,5,1,0,280,193.3
2023-2024,2023/24,Liverpool,2024-05-19,2,2,0,0,164,100.5
2023-2024,2023/24,Wolves,2024-05-19,2,2,0,1,173,100.5
2023-2024,2023/24,Luton,2024-05-19,9,9,0,4,281,170.6
2023-2024,2023/24,Fulham,2024-05-19,2,1,1,1,260,234.0
2023-2024,2023/24,Chelsea,2024-05-19,6,5,1,1,279,237.0
2023-2024,2023/24,Bournemouth,2024-05-19,3,3,0,1,281,110.3
2023-2024,2023/24,Burnley,2024-05-19,5,5,0,2,232,90.4
2023-2024,2023/24,Nottingham Forest,2024-05-19,2,2,0,2,15,7.5
2023-2024,2023/24,Crystal Palace,2024-05-19,6,5,1,1,281,211.2
2023-2024,2023/24,Aston Villa,2024-05-19,9,9,0,3,280,104.6
2023-2024,2023/24,Brighton,2024-05-19,9,9,0,1,205,111.4
2023-2024,2023/24,Manchester United,2024-05-19,4,4,0,2,278,263.2
2023-2024,2023/24,Brentford,2024-05-19,5,5,0,1,238,149.2
2023-2024,2023/24,Newcastle,2024-05-19,7,6,1,0,280,171.9
2023-2024,2023/24,Manchester City,2024-05-19,1,1,0,0,0,0.0
2023-2024,2023/24,West Ham,2024-05-19,1,1,0,0,82,82.0
2023-2024,2023/24,Arsenal,2024-05-19,1,1,0,1,0,0.0
2023-2024,2023/24,Everton,2024-05-19,4,4,0,3,281,149.2
2023-2024,2023/24,Sheffield Utd,2024-05-19,5,5,0,2,281,238.6
2023-2024,2023/24,Tottenham,2024-05-19,8,8,0,5,280,165.8
